Movie,Type,Rating,Year,Domestic,Worldwide,Director
Good Will Hunting,Drama,R,1997,138.30,225.90,G. Van Sant
Grease,Drama,PG,1978,181.50,379.80,R. Kleise
Gremlins,Drama,PG,1984,148.20,148.00,J. Dante
Hannibal,Mystery-Suspense,R,2001,165.10,349.30,R. Scott
Harry Potter and the Chamber of Secrets,Family,PG,2002,262.00,866.40,C. Columbus
Harry Potter and the Sorcerer's Stone,Family,PG,2001,317.60,968.70,C. Columbus
Home Alone,Family,PG,1990,285.80,533.80,C. Columbus
Home Alone 2: Lost in New York,Family,PG,1992,173.60,279.60,C. Columbus
"Honey, I Shrunk the Kids",Family,PG,1989,130.70,222.70,J. Johnston
Hook,Drama,PG,1991,119.70,300.90,S. Spielberg
How to Lose a Guy in 10 Days,Comedy,PG-13,2003,104.90,110.90,D. Petrie
Ice Age,Family,PG,2002,176.40,378.40,C. Saldanha/C. Wedge
In the Line of Fire,Drama,R,1993,102.30,187.30,W. Petersen
Indecent Proposal,Drama,R,1993,106.60,266.60,A. Lyne
Independence Day,Action,PG-13,1996,306.10,813.10,R. Emmerich
Indiana Jones and the Last Crusade,Action,PG-13,1989,197.20,494.80,S. Spielberg
Indiana Jones and the Temple of Doom,Action,PG,1984,179.90,333.10,S. Spielberg
Interview with the Vampire: The Vampire Chronicles,Mystery-Suspense,R,1994,105.30,221.30,N. Jordan
Jaws,Drama,PG,1975,260.00,471.00,S. Spielberg
Jaws 2,Drama,PG,1978,102.90,208.90,J. Szwarc
Jerry Maguire,Drama,R,1996,154.00,273.60,C. Crowe
Jumanji,Family,PG,1995,100.20,264.70,J. Johnston
Jurassic Park,Action,PG-13,1993,357.10,920.00,S. Spielberg
Jurassic Park III,Action,PG-13,2001,181.20,365.30,J. Johnston
Kramer vs. Kramer,Drama,PG,1979,106.30,106.30,R. Benton
Lara Croft: Tomb Raider,Action,PG-13,2001,131.10,224.60,S. West
Lethal Weapon 2,Action,R,1989,147.30,227.30,R. Donner
Lethal Weapon 3,Action,R,1992,144.70,319.70,R. Donner
Lethal Weapon 4,Action,R,1998,129.70,285.40,R. Donner
Liar Liar,Comedy,PG-13,1997,181.40,306.40,T. Shadyac
Lilo & Stitch,Family,PG,2002,145.80,262.80,D. Deblois/C. Sanders
Look Who's Talking,Comedy,PG-13,1989,140.10,297.10,A. Hackerling
Love Story,Drama,PG,1970,106.40,106.40,A. Hiller
Mary Poppins,Family,G,1964,102.30,102.30,R. Stevenson
Maverick,Comedy,PG,1994,101.60,183.00,R. Donner
Meet the Parents,Comedy,PG-13,2000,166.20,295.50,J. Roach
Men In Black,Action,PG-13,1997,250.10,587.20,B. Sonnenfeld
Men in Black II,Action,PG-13,2002,190.40,425.60,B. Sonnenfeld
Minority Report,Mystery-Suspense,PG-13,2002,132.00,342.00,S. Spielberg
Miss Congeniality,Comedy,PG-13,2000,106.80,212.10,D. Petrie
Mission: Impossible,Action,PG-13,1996,181.00,467.00,B. de Palma
Mission: Impossible 2,Action,PG-13,2000,215.40,545.40,J. Woo
"Monsters, Inc.",Family,G,2001,255.90,524.20,P. Docter/D. Silverman
Mr. Deeds,Comedy,PG-13,2002,126.20,161.70,S. Brill
Mrs. Doubtfire,Comedy,PG-13,1993,219.20,423.20,C. Columbus
Mulan,Family,G,1998,120.60,303.60,T. Bancroft/B. Cook
My Best Friend's Wedding,Comedy,PG-13,1997,126.80,286.90,P.J. Hogan
My Big Fat Greek Wedding,Comedy,PG,2002,241.40,356.50,J. Zwick
National Lampoon's Animal House,Comedy,R,1978,141.60,141.60,J. Landis
Nine to Five,Comedy,PG,1980,103.30,103.30,C. Higgins
Notting Hill,Drama,PG-13,1999,116.00,363.10,R. Michell
Nutty Professor II: The Klumps,Comedy,PG-13,2000,123.30,163.70,P. Segal
Ocean's Eleven,,PG-13,2001,183.40,444.30,S. Soderbergh
On Golden Pond,Drama,PG,1981,119.30,119.20,M. Rydell
One Flew Over the Cuckoo's Nest,Drama,R,1975,112.00,112.00,M. Forman
One Hundred and One Dalmatians,Family,G,1961,152.60,215.00,C. Geronimi/H. Luske
Parenthood,Comedy,PG-13,1989,100.10,100.10,R. Howard
Patch Adams,Comedy,PG-13,1998,134.90,193.50,T. Shadyac
Pearl Harbor,Action,PG-13,2001,198.50,450.40,M. Bay
Phenomenon,Drama,PG,1996,104.60,152.00,J. Turteltaub
Planet of the Apes,Action,PG-13,2001,180.00,358.90,T. Burton
Platoon,Drama,R,1986,138.00,153.00,O. Stone
Pocahontas,Family,G,1995,141.60,347.20,M. Gabriel/E. Goldberg
Porky's,Comedy,R,1981,105.50,105.50,B. Clark
Pretty Woman,Comedy,R,1990,178.40,463.40,G. Marshall
Pulp Fiction,Drama,R,1994,107.90,212.90,Q. Tarantino
Raiders of the Lost Ark,Action,PG,1981,242.40,384.00,S. Spielberg
Rain Man,Drama,R,1988,172.80,412.80,B. Levinson
Rambo: First Blood Part 2,Action,R,1985,150.40,300.40,G. P. Costamos
Ransom,Action,R,1996,136.40,308.80,R. Howard
Remember the Titans,Drama,PG,2000,115.60,130.00,B. Yakin
Return of the Jedi,Drama,PG,1983,309.10,573.00,R. Marquand
Road to Perdition,Drama,R,2002,104.10,161.40,S. Mendes
Robin Hood: Prince of Thieves,Drama,PG-13,1991,165.50,390.50,K. Reynolds
Rocky,Drama,PG,1976,117.20,117.20,J. G. Avildsen
Rocky III,Drama,PG,1982,122.80,122.80,S. Stallone
Rocky IV,Drama,PG,1985,127.90,300.50,S. Stallone
Runaway Bride,Comedy,PG,1999,152.30,307.90,G. Marshall
Rush Hour,Comedy,PG-13,1998,141.20,245.30,B. Ratner
Rush Hour 2,Comedy,PG-13,2001,226.20,329.10,B. Ratner
Saturday Night fever,Drama,PG,1977,142.50,285.40,J. Badham
Saving Private Ryan,Drama,R,1998,216.30,479.30,S. Spielberg
Scary Movie,Comedy,R,2000,157.00,277.00,K. Ivory Wayans
Scooby-Doo,Family,PG,2002,153.30,267.70,R. Gosnell
Scream,Mystery-Suspense,R,1996,103.00,173.00,W. Craven
Scream 2,Mystery-Suspense,R,1997,101.30,172.40,W. Craven
Se7en,Mystery-Suspense,R,1995,100.10,350.10,D. Fincher
Shakespeare in Love,Drama,R,1998,100.20,289.10,J. Madden
Shrek,Family,PG,2001,267.70,469.70,A. Adamson/V. Jenson
Signs,Mystery-Suspense,PG-13,2002,228.00,408.00,M. Night Shyamalan
Sister Act,Comedy,PG,1992,139.60,231.60,E. Ardolino
Sleeping with the Enemy,Mystery-Suspense,R,1991,101.60,173.00,J. Ruben
Sleepless in Seattle,Comedy,PG,1993,126.70,227.90,N. Ephron
Sleepy Hollow,Drama,R,1999,101.10,202.10,T. Burton
Smokey and the Bandit,Comedy,PG,1977,126.70,126.70,H. Needham
Snow White and the Seven Dwarfs,Family,G,1937,184.90,184.90,D. Hand
Speed,Action,R,1994,121.20,283.20,J. de Bont
Spider-Man,Action,PG-13,2002,403.70,806.70,S. Raimi
Spy Kids,Family,PG,2001,112.70,143.80,R. Rodriguez
Star Trek IV: The Voyage Home,Drama,PG,1986,109.70,133.00,L. Nimoy
Star Wars,Drama,PG,1977,460.90,797.90,G. Lucas
Star Wars: Episode I -- The Phantom Menace,Drama,PG,1999,431.10,925.50,G. Lucas
Star Wars: Episode II -- Attack of the Clones,Drama,PG,2002,310.70,648.30,G. Lucas
Stir Crazy,Comedy,R,1980,101.50,101.50,S. Poitier
Stuart Little,Family,PG,1999,140.00,297.60,R. Minkoff
Superman,Drama,PG,1978,134.20,300.20,R. Donner
Superman II,Drama,PG,1980,108.20,108.20,R. Lester
Sweet Home Alabama,Comedy,PG-13,2002,127.20,149.70,A. Tennant
Tarzan,Family,G,1999,171.10,435.30,C. Buck/K. Lima
Teenage Mutant Ninja Turtles,Family,PG,1990,135.30,202.00,S. Barron
Terminator 2: Judgment Day,Action,R,1991,204.80,516.80,J. Cameron
Terms of Endearment,Drama,PG,1983,108.40,164.20,J. L. Brooks
The Addams Family,Comedy,PG-13,1991,113.50,191.50,B. Sonnenfeld
